Pot;Hauteur;Recouvrement;Mesure;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;15;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;2.5;25;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;4;8;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;3;12;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;3;10;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;2.5;7;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;5;5;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;3;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;3.5;6;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;3;30;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;0.1;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;1;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;4;10;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;3.5;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;3;20;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;0.1;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;2;7;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;3;5;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;1;5;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;1.5;8;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;1.5;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;4.5;4;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;2;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;2.5;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;3;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;2.5;5;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;4;25;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;3;10;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;3;45;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;0.1;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;1.5;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;5;15;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;2.5;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;2.5;7;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;2.5;25;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;2.5;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;2;10;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;2;4;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;4;7;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;2;12;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;2.5;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;3;7;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;3.5;5;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;4;30;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;0.1;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;1;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;3;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
